name,message,since,link,country
Risuzu Yuki /りすず ユキ,"天音かなたんへ。
へい民になってまだ一年ほどですが、この一年で本当に多くの想いと大切な思い出をもらいました。
大げさではなく、あの時、何もかもにやる気を失っていた自分を救ってくれたのは、間違いなく天使であるかなたんでした。
どんな道を選んでも、これからもずっと応援しています。
一度へい民になったら、ずっとへい民。誇りに思っています。
もう一度、心から言わせてください。
かなたん、本当にありがとう。どうかこれからの道に幸せが溢れますように。",2024,,Vietnam
Konstu,I will never forget you,2020,,Vietnam
FallenAngelVT,100万回、いや10億回「ありがとう」と言いたいけど、あなたが私たちにくれた喜びには到底及ばないわ。ありがとう、かなたちゃん。,2023,,Canada
Everchosen,カナタンのおかげでアイドルを知ることができて、VTuberを好きになれた。絶対に忘れないよ。永遠に私の最推しだから！好きだよ！本当に大好きだよ！ありがとう！,2024,,"Korea, South"
Khang,本当に何と言っていいか分かりませんが、これからあなたが選ぶ道が常に幸運で幸せなものであってほしいと願っています。お体にはもっと気を付けて、病気が早く良くなりますように！（グーグル翻訳を使ったので、言葉が間違っていたらごめんなさい）,2022,,Vietnam
Strider_007,"To Amane Kanata,
When I first started watching hololive, you've been a wonderful, determined and kind-hearted angel with a wonderful voice, sense of humour and love for your fans. Thank you for the wonderful 6 years, and I'll always love you, Kanata! 
Much love, Strider_007.",2020,,Australia
Donut Maker,"Thank you for 6 years of hard-working, Kanata! i will miss you but i hope you will be happy in the future. Thanks for making me laugh so much in the past years.",2021,,Vietnam
Phạm Nguyễn Viết Thiện,"I don't know how to appease some one, so I only can say good luck, 
I was write a one shot for you (I'm a newbie writer) but I can't sent it there.
 Please try your best, because have me and very much Heimin accompany you",2025,,Vietnam
Spwnr,"When I was first getting into Hololive, you were one of the first Japanese member I subscribed to. I remember hearing you sing and being amazed by your voice!
Your song, 別世界, is one of my favourite songs.
Thank you for being our Perfect Persistent Tenshi for all these years. Please take care!",2020,,Canada
Hieucove,こんにちは、カナタ。あなたの健康状態がかなり悪いのは知っていますが、できれば健康を含めたすべての面で良くなることを願っています。いつも幸せでいられますように。いつかあなたに会えるといいですね。:D,2020,,Vietnam
Seto,"Last year I went to my first in person holofes and I still fondly and vividly remember your performance. Thank you for making my first ever in person fes special.

DeepL
昨年初めて参加した対面式ホロフェスで、あなたのパフォーマンスを今でも鮮明に、そして懐かしく思い出しています。初めての対面フェスを特別なものにしてくれてありがとう。",,,Netherlands
"Trung, your fan from betonamu",私はあなたが過去に非常に努力したことを知っています、そして私は本当にあなたの決意に感心します。あなたは一生懸命働いてきました。私はただ、あなたがファンに与えるだけでなく、あなたの作品に与える高貴な人格を賞賛し、賞賛したいと言いたいだけです。あなたはみんなから愛と尊敬を受けるに値する。あなたの前のすべての未来がたくさんの喜びを持っていることを願っています、あなたがもはやアイドルでなくても、誰もがいつもあなたを応援します。もう一度ありがとう、そしてあなたの誕生日が私の誕生日でもあるなんて偶然でしょう。あなたをとても愛しています,2019,,Vietnam
duydoan,i hope you become the happiest person in the world kanatan,2020,,Vietnam
仮面Yamada,大好きです！カッコ悪いでも、何年かかっても、いつでも帰ってきてください！ずっと待ってるから！まだまだかなたんと一緒にいたいです！,2021,https://x.com/Phantom_Yamada/status/1996463062824681654,Taiwan
Cau Khay,"Thank you Kanata for the past 6 years. I love your singing, especially your long-high note. I love how you interact with Holo-mem and your tsukkomi is the best. I hope in the future you won't have to suffer any illness anymore. Love you my little angel <3",2024,,Vietnam
juno,"長年にわたりあなたを見守るのは本当に楽しいことでした。あなたは私たちの誇りとなるアイドルへと成長しました。世界中が魅了され、私たちは決してあなたを忘れることはありません、カナタン。

これからの人生が幸せで充実したものになりますように♡",2021,,Australia
,"ハッキリ書いておきます！復帰でも転生でもどんな形でも構いませんのでまたいつか戻ってきてください！！
何でこんなの書いてるかと言われたら本当に帰っても良いなと思えた時に「あの時約束したしな…」なんて事で帰られなかったらものすごく悔しいからです！！
だからこそ！！そう思う時がくるまではこんな言葉も気にせずに貴女の行く道を進んで下さい！何があってもずっと応援してます！！",,,
Holosonal（ホロソナール）,"この時まで全力で頑張ってくれたかなたんに何と言ったらいいか良く分からないが、それでもこれだけは届いて欲しいです。
「かなたんが活動しながら見せてくれたその熱情と努力全てがへい民とホロリスナーのみんなに伝わってると、そしてまた僕にも届いた」と、届いて欲しいです。
そして、いろいろ辛い思いをしながらもここまで頑張って、ついにソロライブまでやり遂げたアイドルかなたんを、絶対忘れません。
この世からいなくなってもかなたんは僕の永遠のアイドルということだけは譲れませんww
ここまで、頑張ってくれたかなたんに感謝とこれからかなたんが行くその道に幸あらんことを祈ります。
幸せな人生になりますように。",2023,,"Korea, South"
夢見る韓国niki,"天音かなたさんへ、

幼い頃から、両親は私がゲーム開発者になるという夢に反対していました。大学を卒業した後、持病も抱え、度重なる失敗に絶望していました。

でも、かなたさんが全ての困難を乗り越えてステージに立つ姿を見て、もう一度立ち上がろうと決心しました。

いつか必ず成功して、かなたさんの存在をもう一度みんなの心に深く刻みたいです。かなたさんの努力と意志が、みんなに届くように。",,,"Korea, South"
カピ3,"ホロライブは GTAから知って、かなたんのツッコミでたくさん笑わせてもらって、元気を貰える存在でした。ファン歴は浅いですが、この一年をかなたんのおかげで彩りが増したものにできました！
幸せに健康に過ごせることを祈っています！
さようなら、お元気で",2024,,Japan / 日本
kuuhakubee,"Dear Kanata, hearing the news definitely shocked me. But first and for most, we'll wish on your future plans. Thank you for your contribution during my tough times in the past 6 years. Thank you for giving me motivation to continue even with difficulties.",2019,https://fxtwitter.com/KBee_Gaming/status/1996485195130978775,Vietnam
TOKKPA2,"かなたん、本当ありがとう。Kanata, you are one of the holomen who got me into hololive. Also I started learning japanese because of you.",2025,https://x.com/PTokkpa/status/1996486229626691598?s=20,Thailand
,I will always support you !!!,2022,https://x.com/uoynix/status/1996104541163696408?s=46,Malaysia
sword,"You have made me a better person!
Thank you!",2019,,United States
Honza Ta,"Thank you for always making us smile with your streams. You were there for us during the pandemic. Please do not forget us, as we will never forget you, as a Power Point Tenshi.",2021,,Czech Republic
騎士アキZERO,かなたん6年間お疲れ様でした！あなたと出会えて私はとても素敵な日々を過ごせて仕事も頑張れて全部かなたんのおかげです！この先もあなたの進む先が幸せが多からんことを切に願います！かなたんずっと大好きですLOVE,2021,,Japan / 日本
H0r1nk1,"こんかなた💫
かなたんを知ったのは2〜3年前かな
突然ですが自分は先天性で片耳が聞こえません
その事にしっかりと悩んでる時にかなたんを知りました
難聴とかの持病がありながらも人一倍頑張ってる姿を見て元気を貰っていました
自分も頑張らないとな、しっかりと思いました
ありがとう
卒業と聞いて悲しかったけど、自分は「へい民」でい続けます
ありがとうかなたん",2023,,Japan / 日本
Ruu,かなたそは本当に世界で一番のアイドルです！,2023,,Japan / 日本
,I will never forget you,2020,,Vietnam
Bui Gia Bao,"この6年間、かなたんと過ごした時間は、私の人生で最も意義のあるものでした。
この世界であなたに出会えたことは、本当に大きな祝福です。
これからは、あなたの声を聞くことができない日々が続くと思うと、きっととても辛くなるでしょう。
でも、別れが人生の一部である以上、受け入れなければならないものだとも思っています。
私たちは、もしかしたら一度も会う機会がなかったのかもしれません。
それでも、あなたが世界のどこにいても、遠い国から、あなたの残りの人生がずっと幸せでありますように、と心から願っています。
かなたん、ばいばい！",2020,https://x.com/buigiabao1002/status/1914334910955078061?s=20,Vietnam
Heewon,"あなたの情熱的で、どんな時もあきらめないお姿に、そっと心惹かれておりました。
お別れするのは本当に名残惜しいですが、いつかまたお会いできる日が来ることを静かに願っております。
あなたからいただいた幸せを、これからも大切に胸にしまっておきます。
私は本当に幸せな 'へい民' でした。

どうかご飯をしっかり召し上がって、いつもお身体を大切になさってください。
これからもずっと応援しております。
心から、愛しております。",2021,,"Korea, South"
Moa,I am a lurker and I rarely speak in chat but I hope you know I will support you forever!,2021,,United States
Shrimp1506,"Thank you Kanata, we will remember you forever!!",2020,,Vietnam
OWING,"卒業のニュースを聞いて本当に心が痛くて手紙を書くようになりました
YouTubeを初めて見始めたのもこんなに寒かった冬でした。
初めて歌を聞いてあなたの声に陥り、毎回応援して見守りました。
制作年には韓国で軍隊を行く風に本当に大変で惨めな時間を過ごしましたが、その中で日課を終えて見るあなたの放送は私の人生の原動力になるほど幸せでした。
今回の卒業ニュースを聞いて、とんでもない泣きました。
しかし、放送を見て私たちのためによく頑張ってくれたようで申し訳ありません。
卒業後、今より幸せになるよう応援したいです。
ありがとう
지금까지 방송해줘서 정말 고마워요 -한국 헤이민 owing-",2020,https://x.com/owing6421/status/1995779129124311507?s=20,"Korea, South"
Oreo Oshida,ASMRをありがとう。声が好き。私はかなたを絶対に忘れない。あなたが他のメンバーと交流する姿を見るのが大好きでした。これからもずっとあなたの音楽を聴き続けます。Love from Belgium,2021,,Belgium
Mage,o7 PPT,2020,,Canada
Jakklin,I wish you the best Kanatan. I hope you rest well and stay connected with your friends. Good Luck with everything! ありがとう. おつかなた! Bye Bye.,2020,https://x.com/NeyJakklin/status/1459497046109409288?,Australia
Nat_Anunta(Syrup),かなたん、本当に今までありがとう。タイから心を込めて…あなたのことが大好きです。これから歩む道が明るく輝きますように。あなたはずっと、私の太陽です。,2020,,Thailand
カプチーノ,今までありがとうございました！ 苦しい時、かなたさんの歌を聞きながらたくさん慰められました。 本当に幸せな時間でした！ 大好きです！,,,
プーリン、タイからのへい民,"かなたん、6周年おめでとう。最初から最後までありがとう。
かなたんから貴重な時間と思い出をたくさんもらいました。へい民にしてくれてありがとう。
すっと僕が死ぬまでへい民だよ、だからかなたんに絶対に忘られないよ。
卒業おめでとう。",2020,,Thailand
Người dõi theo các vì sao,6年間一緒にいてくれてありがとう。配信を見て楽しかったことも、ゴリラってからかって怒られたことも忘れないよ、でも、どんな楽しみにも終わりはありますし、どんな旅にも終着点があります。最初は、あの馴染みのある姿がなくて寂しくて泣くかもしれませんが、心配しないでください。私たちヘイミンはとても強いです。最初はとても寂しくて空虚かもしれませんが、私たちメイミンは大丈夫です。どこに行って何をしても、私たちは常にカナタの決断を無条件にサポートします。だからカナタに幸運を祈るよ、ヘイミンは決して忘れないよ...ホロライブの可愛くて強い天使、さようなら 天音かなた💙💙💙⭐️⭐️⭐️,2020,,Vietnam
,May you find success in all that you do. Thank you for the joy you brought over these 6 years.,2019,,United States
モチの本,"かなたんへ
言いたいことがいっぱいあるけど先にありがとう！
かなたんを知ってから3年最初はアイドルなんかなんて思っていたけれどかなたんにささえられたこともありました。今ではバイトを始めてすぐにメンバーに入り約２年かなたんが卒業をするって知り胸が痛くなるくらいにかなたんのことが好きになりました。
かなたんのこれからを応援しています。
かなたん今までありがとう！！これからもアーカイブや歌を見て元気をもらうね！！",2022,,Japan / 日本
pig2295,"私は日本語が分からないので翻訳ソフトを使いました。
推し始めてまだ3年も経っていませんが、この時間の中でずっとかなたさんの歌を聴いてきました。
日本語は分からなくても、毎回の配信を欠かさず見ています。

気持ちが不安定な時、かなたさんの歌声を聴くと心が落ち着きます。
これから先も、かなたさんの歌声は私の心の中にあり続けます。

何よりも、この天使が私に幸せと生きる力を与えてくれたことが忘れられません。
私はこれからも天使の歌声を聴き続けます。

私の人生に現れてくれて、本当にありがとうございます。
この時間は、私の一生で最も大切な宝物です。
お疲れさまでした。ありがとうございました。",2022,,Taiwan
夢梨子,"「当时只道是寻常」――それは、本当はかけがえのないものが、ただの日々の繰り返しだと見過ごされていたという意味です。
かなたんが活動を始めてからの六年間。私はあなたの声を聞き、ゲーム実況を見られ、歌を聴き、ライブを見る。それらはすべて、永遠に続く「ただの日常」でしかないと、どこかで思い込んでいたのです。
今、ようやく気がつきました。この六年間は、儚くも、途切れることなく続いた奇跡の連続だったのだと。
この奇跡は、私の胸の中で、永遠に大切な輝きとして生き続けます。
すみません、私は本当に不器用で、AI翻訳に頼ることしかできません。でも、今伝えなければ、もう永遠に伝わらない。",2020,,China
kanea,かなたそ、6年間お疲れ様。私が一番つらくて疲れた時、かなたそを初めて知ってやりたいことがあるけど、他の要因のせいでできなくなった時、かなたそは諦めずに最後まで夢を追いかける姿に私は勇気をもらった。今まで放送のおかげで楽しかった。じゃあ、天界に戻って幸せに過ごせたらいいね。じゃあ、おつかなた~,2020,,"Korea, South"
yetiorz,I will always miss the strong vocal gorilla that gives her 200% to get the work done. Good luck further and have a good life ahead!,2023,,Malaysia
AylwinB,"Thank you for bringing joy, 喜びをもたらしてくれてありがとう",2021,,Singapore
Loliwut,"あなたのことがいなくなると、とても寂しくなります。
この6年間は本当に素晴らしい時間で、これ以上のものを望むことなんてできませんでした。
あなたがいなくなった後も、どうか幸せと恵まれた未来がありますように。
本当にありがとう。",2019,,United States
cauchips,"Kanata, your kindness, strength, and beautiful heart touched so many people. Being Kanata, you brought light, comfort, and courage to the world. Thank you for sharing your voice and your gentle spirit with us. I hope your future is filled with happiness.",2021,,Indonesia
楓糖,楽しいお時間をありがとうございました。卒業なさることになりましたが、残念ですが、卒業したら早くお元気になってください。お会いすることはできませんが、へい民としてのこの4年半は、私の人生で最高の思い出となるでしょう。お会いできて本当にありがとうございました。,2021,,Taiwan
Kyo,"Kanata! I still can't believe you're graduating... I watched you debut so long ago, since I was young, so it's unbelievable how many years have passed and how much we have grown. You are so hardworking, loving, and strong. Please take care of yourself and be happy!  ",2020,,Australia
Umii,"「このメッセージは Google 翻訳を使って書いているので、何か変なところがあったらごめんなさい。

カナタ、本当にありがとう。楽しくて面白いライブ配信をいつもありがとう。私はへい民ではないけれど、あなたの配信は欠かさず見ています。思い出や笑顔、そして大切な気持ちをくれて、あらためてありがとう。大好きなゴリラさん、感謝しています。」
",2022,,Vietnam
lAngelingl,I wish you all the best and happiness in your future endeavors!  今後のご活躍とご多幸をお祈り申し上げます！(DeepL),2022,,Singapore
SeasonalKappa,かなたさん、アイドルとしてのホロライブの魅力に目覚めたのは、あなたの声のおかげです！もう二度と、あなたの声のように誰かの声を楽しめることはないと思います。(Google translated),2021,,United States
Sol Bentovisky,あなたは私の永遠の推しで、最も美しく楽しいVTuberでした。神のご加護がありますように,2022,,Brazil
赤ワサ「ウォバー」,"この文章を、あなたに届くことを心から願いながら書きます。
つらい時に支えになってくれた かなたそ に、いつもありがとうと言いたかった。
これを読んでくれるかはわからないけれど、最後の機会だと思って書いています。
これまで かなたそ にはたくさんの楽しさと幸せをもらってしまった。
だからこそ、僕もそれ以上の幸せを かなたそ に返せる人になりたいと思っている。
へい民 は かなたそ をずっと応援しているよ。
どんなことをすることになっても、うまくいくように願っている。",2020,,"Korea, South"
S. Nguyen,"We love you Kanata! Thank you for everything! [特者生存ワンダラダー!!] will always be special to me. It made me realize Hololive was more than just for gaming livestreams. Even if it is only for yourself, please never stop singing! You will always be our strongest angel and my oshi! (And the best gorilla)",2022,,United States
Niko,"Thank you for the fun, and good luck in the future!",2020,,United States
KazumA,"かなたん、6年間活動お疲れ様でした！
自分はここ数年でへい民になった者です。
へい民になってからの期間はそこまで長くないかもしれませんが、とても幸せな時間でした。
自分がしんどかった時、かなたんの歌声や配信に何度も元気付けられました。
本当にありがとう！！
かなたんのアイドルとしての美学、本当にかっこいいし尊敬します。
貴方はいつまでも、自分にとって世界で一番のアイドルです。
文字打ってたら色々と思い出して涙出てきた…笑
それだけ、自分でも気付かないうちにかなたんの存在が自分の中で大切な物になってました。一生の宝物です。
どうかいつまでも健康で、幸せになって下さい！
だいすきです！！！！！",2024,https://x.com/kazmax666/status/1996296616052248778?s=46&t=kdVTYx9sQwhvZlwmqHg0_A,Japan / 日本
くろな,「こんなに苦しむのなら出会わなければよかった」ではなく、「たとえ一瞬でも君に出会えた方が、君を知らずに百年生きるよりずっといい」でしょう。,2024,https://x.com/mamine_kurona/status/1996763645431500873?s=20,Vietnam
,かなたんが医学部での頑張る原動力になっています。,2021,,Thailand
Lim jun,かなたそ！2年前からかなたそのことお応援してる韓国のへい民です！僕はかなたその笑顔がかわいすぎで、そして人生の苦難屈服しないかなたそのことが好きでへい民になりました、卒業後も笑顔ばっかりでしやわせな人になってぐださい！,2023,,"Korea, South"
星宮ステラ,かなたんの歌声に魅了されて3年前にファンになりました。あなたのおかげで生活が一変しました。初めてのアルバムは私が初めて買ったCDでした。LOCK  ONも初めて見たライブでした。かなたんに会えなければ私の人生は全く別のものになっていたと思います。かなたんのこれからの人生が幸せなものになることを願っています。今までありがとうございました。,2022,,Japan / 日本
Deserf,"お疲れ様でした!　お体に気をつけてください。
タイファンクラブから。",2020,,Thailand
A_kun,"かなた、心から愛しています。
​この知らせを聞いた時、私は本当にたくさん泣きました。私にとってかなたは、この人生においてかけがえのない一部です。私はあなたの歌声が大好きです。本当に素晴らしいです。
​だから、私の強くて美しい天使よ、どれだけ時間が経っても、私はこの小さな天使のことを決して忘れません。
​最後に、かなたが素晴らしく幸せな新しい人生を送れるよう心からお祈りしています。",2019,,Vietnam
,かいがいにきです！日本語を勉強します。かなたの歌がめっちゃ大好きです。ホロライブに残ってほしかったけど、幸せになってほしいです。かなたは世界で一番のアイドル！ありがとう！！！(≧▽≦)✧,2024,,United States
NamNguyen098,"Kanatan,Thank You so much for all your hard works.your sololive so peak,i wish all the better thing for you.stay Healthy okay,don't forget to meet Kaichou Moco",2024,,Vietnam
TW-夜雨VNR,"Kanata さんにこの文が届けば嬉しいです。
僕は台湾のへい民で、けっこう重度のロリコンです。最初の印象もロリ寄りでしたが、歌声やツッコミ、握力ゴリラネタを知って、僕は一生推すと決めました。メンバー歴は13ヶ月で、グッズもできる限り応援してきました。

12/2 に友達から卒業の知らせを見た瞬間、心が一気に沈みました。Aqua の後で、まさかあなたまで…。「今回はちゃんと推せたのに…ライブも来年また挑戦するつもりだったのに…」と何日も気持ちが揺れました。

SNS を開くのもつらい日が続きましたが、それでもあなたがネットの世界を離れて、望む人生を歩めるよう心から願っています。",2023,,Taiwan
Alfonso.C,"Know that u touched so much people in this whole 6years of life, with your singing and happiness you make so much people happy, thank you so much for all these years making us happy, you where more than a streamer or an idol, I only hope good things in life cause you are  an amazing person. Farewell",2019,,Chile
mooogs_,"You will always be the strongest angel idol to me, thank you for everything Kanatan!",2022,,United States
ザフキエル・α,こんにちは、かなたん。ザフキエルです。５年前からずっとファンです。最近日本語を学び始めたばかりでまだあまり上手じゃなくてごめんなさい。でも、かなたんみたいにもっと頑張ります。言いたいことは、人生のこの5年間を一番素晴らしい時間にしてくれて本当にありがとう。これからも、かなたんのファンとしてずっと応援し続けます。おつかなた!,2020,,
Mercenary128/DiegOismo,人生は不公平だ。生まれた時の体は選べない。でも君は与えられたものをどう活かすか選んだ。君の歌声は何百万もの心に届いた。出会った仲間たち、君を愛した人々を決して忘れないで。成し遂げた夢は全て君の力だ。君ならどんな困難も乗り越えられる。世界一のアイドルへ、これが最後のメッセージだ。この世に生まれてきてくれてありがとう。私の音楽の天使でいてくれてありがとう。天音かなたでいてくれてありがとう。DeepL,2021,https://x.com/diegOismoCh/status/1955292668906397804/photo/1,Peru
ymet0,私の人生の4〜5年間に現れてくれてありがとう。人生のどん底にいた時に、いつも静かに支えてくれてありがとう。ライブを続け、歌い続けてくれて。あなたが笑ったり泣いたり、ソロライブまでする姿を見て、私は本当にあなたを誇りに思います。普段はあまり体調が良くないことは知っていましたが、こんなに早く行ってしまうとは思っていませんでした。でも、お別れのプレゼントとして、世界で一番エキサイティングなライブの一つを送ってくれたことに感謝しています。体に気をつけて、元気に暮らしてください。あなたのことを決して忘れません…あなたはいつも私の心の中で一番大切な存在、いつも私の心の中で最高、世界で一番の天使です。,2020,https://x.com/ymet024739/status/1996227783836737737?t=Yce9SynQnsaaSWzDqTLVLg&s=19,Hong Kong
Kaisei💫,"本当にお疲れ様でした！
本当に大好きだよ！
これからはしっかり休んで幸せな人生を送ってください！",2025,,Japan / 日本
,"かなたんへ
あなたはいつまでも私の、私達へい民のアイドルです",2023,,
doge,"あなたの歌声が大好きです。あなたは世界一のアイドルです。
この数年間、そばにいてくれてありがとう。
これからの未来が幸せでありますように！",2020,,Taiwan
arbrog,Your sololive was amazing! Thank you for everything!,,,United States
Keishima,"Thank you for the 6 years Kanata.
Hope you have a wonderful life after graduation.",2021,https://x.com/Keishima16/status/1997533153867841888?s=20,Singapore
yuki💫@Sam47711,"かなたんに出逢えて幸せです。
君は私の人生そのものです。大好きで大好きで、一生の唯一の推しです。
私にとって世界で一番のアイドルです！
一生君を推し続け、追い求めていきます。
できたらまた出逢って、歌を、声を聴かせてください。
かなたんのこれからの未来が幸せであることを、ずっと願って生きていきます。
出逢ってくれて本当にありがとう！大好きだよ！",2021,https://x.com/Sam47711/status/1957732505018359846/photo/1,Japan / 日本
Noareames,"I fell in love with your singing in an instant and my love to you will last forever.
Your idol story is an inspiration. I was sad when you were sad and I was happy when you were happy. I wanted to see all your dreams become reality.
In the end, I will always be wishing for your happiness. Thank you.",2020,,Canada
Basephoth,"君は推しじゃないけど、みこの声真似から知って好きに。配信見て、いいね、BGMに。病気を心配（ぐらむめいはあと後）。夢とみんなのため頑張る君に感動、大事だよ。
4期投票、わためトワルーナ好きだけど君選ぶ。
卒業ニュースで涙、沈みたい。でも人生続く、笑顔で送ろう。小さな強い天使にさよなら。幸せ願う。アイドルじゃなくても病治り、メニエール克服、先進医療早く発展。更新で戻れば十分。
僕、画家兼作家、ホロメンヒーローシューター風叙事詩ファンフィク。ぐらむめい卒業後始めた。諦めず完成公開、残る人去った人に愛記憶伝える。
ありがとう。幸せに。休んで。残り全力、アーカイブ見る！また会える。",2023,,Vietnam
Bubbul07,"かなたん、あなたが卒業してしまうことは本当に悲しいけれど、6年間あなたを見守ることができてとても幸せでした。デビュー当初から、あなたはずっと私が最も尊敬しているホロメンの一人です。あなたの努力家な姿勢や数々の成果は、本当に大きな励みになりました！
大変なことも多かったけれど、あなたが努力し成長していく姿を見ることは本当に私を励ましてくれました。あなたのソロライブは一生忘れません。世界の反対側から飛んで行った甲斐があった、と心から思える一生の宝物です。
もうあなたを見ることも、歌声を聴くこともできなくなるなんてあまりにも寂しすぎます。だからまたどこかで会える日まで、どうか元気でいてくださいね！",2020,,United States
,今までありがとうございました！大好きだよかなたん！,2022,,"Korea, South"
Remurin,"去年、かなたんに出会えて本当に良かったです。困難な時期に支えになってくれたこと、とても感謝しています。その素晴らしい歌声、優しさ、そして可愛さに、当時すごく惹かれました。
特に「Color Rise Harmony」やソロライブを経て、応援したいという気持ちが今まで以上に強くなりました。これからも、何があってもずっと応援し続けます！かなたんの健康と、これからの輝かしい未来を願っています。
かなたんが私の「推し」であることが、私の誇りです。ありがとう、かなたん。いつも本当にありがとう💫",2024,,Kazakhstan
ケイ,幸せになってください。,,,"Korea, South"
Cymon,"こんにちは、かなたさん。知ってからまだ短い時間ですが、それでも配信を見ているととても安心できましたし、卒業されるのを見るのはとても辛いです。もっと早くカナタさんに出会えなかったこと、本当に申し訳ありません。ホロライブは私の人生を変えましたが、カナタさんは短い間でも、その中で最も大きな影響を与えてくれたホロメンの一人です。
カナタさんがいなくなると同じにはなりませんが、なんとか乗り越えます。
今まで本当にありがとうございました。決して忘れません。
お元気で。私たちはみんなカナタさんのことを愛しています。
By:DeepL",2025,,Spain
Echo（エコー）,"いつもたくさんの幸せを届けてくれて本当にありがとう。
かなたその歩んできた物語、あふれる才能、そしてどんな時も前に進む強さは、私の心に深く響いています。
その姿にたくさん勇気をもらい、私もあなたのように一生懸命頑張りたいと思えるようになりました。
どうかゆっくり休んでください。
これまでの努力は、誰よりも輝いていて、そして誰よりも尊いものです。
本当にお疲れさま。",2020,,Thailand
Boid,私の中にアイドルファンを蘇らせてくれて、ありふれた日常に喜びをもたらしてくれてありがとう!!!,2019,,Australia
隠れて見えない赤座,"かなたんお疲れ様でした！
ホロライブを知ったきっかけがかなたんとの出会いでした。いつも楽しく配信している姿やアイドル活動に対する姿勢、歌を歌っている姿を見ていつも元気をもらっていました。卒業発表からまだ立ち直れておらず、卒業して欲しくないのが本音ですが、かなたんの覚悟を聞いて、改めてこの人を推して来てよかったと思いました。
卒業後はゆっくりとした生活をして幸せになって下さい。でも、もし歌をまた歌いたいと思た時は全力で応援するのでかなたんの歌声をまた聴かせてくれると嬉しいです。
これまで本当の本当にお疲れ様でした、貴方の新しい旅路に幸がありますように！",2021,,Japan / 日本
,今までありがとうございました。 カナタン。カナタンがいてくれて幸せでした。幸せになってください。,2022,,Japan / 日本
수인,Vtuberを知り、天使の天音かなたを好きになってへい民になってから、まだ1年も経っていませんが、あなたを送り出さなければならないのが本当に悲しいです。過去の配信を見てへい民になり、そして数ヶ月の間、あなたのおかげで幸せでした。昔のあなたと今のかなたんで気持ちは少し違うかもしれませんが、私はこれからもずっと応援したいです。世界で一番のアイドルのファンになれて光栄でした。幸せをありがとう。日本語が得意ではないので、韓国語から翻訳して送ることをどうか許してください。いつも幸運と健康がありますように。おつかなた！,2025,,"Korea, South"
Morker,"Please be happy on your next life, Kanatan. You'll always be in my heart.",2020,https://x.com/i/status/1998222808476942370,Mexico
Maki/Lemoron,こんかなた！今月は私たちと同じくらい君も大変だっただろうね。終わりが近づく今、世界中から届いた応援と愛が君に届いていることを願っているよ。君はここ数年で大きく成長した。そしてへい民衆は君がナンバーワンアイドルへの道を歩む間、ずっとそばにいたんだ。私のナンバーワンでいてくれてありがとう。素晴らしい音楽を届けてくれて、配信を続けてくれて、そして些細なことかもしれないけれど、いつも私を幸せにしてくれたあなたの笑い声に感謝しています。あなたのくすくす笑う声は、私にとって世界で一番可愛いものなんです。どうかお元気で、かなたん。もう二度と直接会えなくても、あなたのことを応援し続けます。へい民は一生もの！,2023,https://x.com/Lemoron2/status/1998262602460442655,United States
Shoki Amatsukami,"Dear Kanata, during the dark days of the pandemic your streams made me laugh and want to live forward again. Because of you I sing, play instruments and write stories about my demon hunter OC Shoki and his angel friend Kanata. Even after graduation, you’ll be my screen angel and my best friend.",2020,https://x.com/shokiamatsukami/status/1996988737365201098?s=46,Philippines
モカ,一緒に過ごした4年間、本当に幸せだった。 かなたんは私の運命を変えてくれた人だった。 本当にありがたいし、これからも幸せでないと。 いつでもどこでも応援するよ。,2021,,"Korea, South"
SunTalk,"かなた、この数年間、寄り添ってくれて本当にありがとう。あなたの歌声は、私にとってかけがえのない時間でした。
これからの人生が、すべて順調で、健康で幸せであることを心から願っています。
卒業しても、これからもずっとあなたの歌を聞き続けます。
私は永遠の へい民 です。",2022,https://x.com/SunTalk1221/status/1998390766163591654/photo/1,Taiwan
sayu,私たちも絶対に6年間の天音かなたを忘れない,2024,,"Korea, South"
Ryans,"かなたへ
この6年間の思い出を本当にありがとう💙💙💙
かなたに出会えて、ホロライブを知ることができて感謝しています。
あなたのこと、特にあなたの美しい歌声が大好きです。
これから先、かなたの未来が幸せで満たされることを願うばかりです。
インドネシアのHeiminより ",2019,https://x.com/i/status/1998624898764386607,Indonesia
Xemmy,"I'll always love your singing, thank you Kanata!!!!!",2024,,Malaysia
TinyBell,翼がなくても、手裏剣がなくても、もうアイドルじゃなくても、あなたはこれからも私の星です。 今まで本当にありがとうございました。あなたの将来に祝福がありますように。大好きです！！💫,2024,,"Korea, South"
woong,日本語が下手なので翻訳機の助けを借りています。 あなたは本当に尊敬されるべき道を歩んできました。 行かないでほしいとお願いしたいのですが、そうしないあなただとわかっているので、ただ幸せに暮らしてほしいです。 最後まで、またその後もあなたを応援します。 私のアイドルでありゴリラであり天使であるあなたを愛し、愛しています。 会いたくなると思います。 最後に結婚は必ずしてください。카나타바보,2024,,"Korea, South"
sbih_Lockon,"Thank you for these 6 years together Kanata! Although this is goodbye, I will never forget you. I will always listen to your songs and rewatch your videos forever. I wish you will always be happy in your future!",2020,,United States
